participant_id,random_id,trial_index,trial_number,time_elapsed,rt,stimulus,object_id,angle,same_different,response,task,correct_response,correct,is_right,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,response_10,response_11,response_12,response_13,response_14,response_15,response_16,age,gender,education,handedness,vision,technical_difficulties,knowledge_check
giraffe,p2mpwwhb0pg,117,38,214789,1091,stimuli/43_0.jpg,43,0,same,f,response,f,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,120,39,217967,1670,stimuli/24_50_R.jpg,24,50,different,j,response,j,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,123,40,222618,3142,stimuli/2_100.jpg,2,100,same,f,response,f,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,126,41,226910,2783,stimuli/24_50.jpg,24,50,same,f,response,f,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,129,42,231324,2905,stimuli/32_0_R.jpg,32,0,different,j,response,j,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,132,43,235685,2854,stimuli/15_100.jpg,15,100,same,f,response,f,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,135,44,240405,3211,stimuli/7_150.jpg,7,150,same,f,response,f,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,138,45,244101,2188,stimuli/22_150_R.jpg,22,150,different,f,response,j,FALSE,0,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,141,46,248103,2493,stimuli/4_100_R.jpg,4,100,different,j,response,j,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,144,47,251177,1566,stimuli/21_50_R.jpg,21,50,different,j,response,j,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,147,48,255342,2658,stimuli/46_150_R.jpg,46,150,different,j,response,j,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,151,49,322019,35162,stimuli/29_50_R.jpg,29,50,different,j,response,j,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
